ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Rep,Metadata_Series,Metadata_Strain,Metadata_Well,Metadata_image_type
1,1,nan,0,6,1,0,PS11,A01,BF
2,1,nan,0,6,1,0,PS12,A02,BF
3,1,nan,0,6,1,0,PS13,A03,BF
4,1,nan,0,6,1,0,PS14,A04,BF
5,1,nan,0,6,1,0,PS15,A05,BF
6,1,nan,0,6,1,0,PS16,A06,BF
7,1,nan,0,6,1,0,PS17,A07,BF
8,1,nan,0,6,1,0,PS18,A08,BF
9,1,nan,0,6,1,0,PS19,A09,BF
10,1,nan,0,6,1,0,PS20,A10,BF
11,1,nan,0,6,0,0,00,A11,BF
12,1,nan,0,6,0,0,00,A12,BF
13,1,nan,0,6,2,0,PS11,B01,BF
14,1,nan,0,6,2,0,PS12,B02,BF
15,1,nan,0,6,2,0,PS13,B03,BF
16,1,nan,0,6,2,0,PS14,B04,BF
17,1,nan,0,6,2,0,PS15,B05,BF
18,1,nan,0,6,2,0,PS16,B06,BF
19,1,nan,0,6,2,0,PS17,B07,BF
20,1,nan,0,6,2,0,PS18,B08,BF
21,1,nan,0,6,2,0,PS19,B09,BF
22,1,nan,0,6,2,0,PS20,B10,BF
23,1,nan,0,6,0,0,00,B11,BF
24,1,nan,0,6,0,0,00,B12,BF
25,1,nan,0,6,3,0,PS11,C01,BF
26,1,nan,0,6,3,0,PS12,C02,BF
27,1,nan,0,6,3,0,PS13,C03,BF
28,1,nan,0,6,3,0,PS14,C04,BF
29,1,nan,0,6,3,0,PS15,C05,BF
30,1,nan,0,6,3,0,PS16,C06,BF
31,1,nan,0,6,3,0,PS17,C07,BF
32,1,nan,0,6,3,0,PS18,C08,BF
33,1,nan,0,6,3,0,PS19,C09,BF
34,1,nan,0,6,3,0,PS20,C10,BF
35,1,nan,0,6,0,0,00,C11,BF
36,1,nan,0,6,0,0,00,C12,BF
37,1,nan,0,6,4,0,PS11,D01,BF
38,1,nan,0,6,4,0,PS12,D02,BF
39,1,nan,0,6,4,0,PS13,D03,BF
40,1,nan,0,6,4,0,PS14,D04,BF
41,1,nan,0,6,4,0,PS15,D05,BF
42,1,nan,0,6,4,0,PS16,D06,BF
43,1,nan,0,6,4,0,PS17,D07,BF
44,1,nan,0,6,4,0,PS18,D08,BF
45,1,nan,0,6,4,0,PS19,D09,BF
46,1,nan,0,6,4,0,PS20,D10,BF
47,1,nan,0,6,0,0,00,D11,BF
48,1,nan,0,6,0,0,00,D12,BF
49,1,nan,0,6,5,0,PS11,E01,BF
50,1,nan,0,6,5,0,PS12,E02,BF
51,1,nan,0,6,5,0,PS13,E03,BF
52,1,nan,0,6,5,0,PS15,E05,BF
53,1,nan,0,6,5,0,PS16,E06,BF
54,1,nan,0,6,5,0,PS17,E07,BF
55,1,nan,0,6,5,0,PS18,E08,BF
56,1,nan,0,6,5,0,PS19,E09,BF
57,1,nan,0,6,5,0,PS20,E10,BF
58,1,nan,0,6,0,0,00,E11,BF
59,1,nan,0,6,0,0,00,E12,BF
60,1,nan,0,6,6,0,PS11,F01,BF
61,1,nan,0,6,6,0,PS12,F02,BF
62,1,nan,0,6,6,0,PS13,F03,BF
63,1,nan,0,6,6,0,PS14,F04,BF
64,1,nan,0,6,6,0,PS15,F05,BF
65,1,nan,0,6,6,0,PS16,F06,BF
66,1,nan,0,6,6,0,PS17,F07,BF
67,1,nan,0,6,6,0,PS18,F08,BF
68,1,nan,0,6,6,0,PS19,F09,BF
69,1,nan,0,6,6,0,PS20,F10,BF
70,1,nan,0,6,0,0,00,F11,BF
71,1,nan,0,6,0,0,00,F12,BF
72,1,nan,0,6,7,0,PS11,G01,BF
73,1,nan,0,6,7,0,PS12,G02,BF
74,1,nan,0,6,7,0,PS13,G03,BF
75,1,nan,0,6,7,0,PS14,G04,BF
76,1,nan,0,6,7,0,PS15,G05,BF
77,1,nan,0,6,7,0,PS17,G07,BF
78,1,nan,0,6,7,0,PS18,G08,BF
79,1,nan,0,6,7,0,PS19,G09,BF
80,1,nan,0,6,7,0,PS20,G10,BF
